id;start_date_time;end_date_time;distance_covered;steps_count;calories_burnt
1;2024-04-23T11:18:40;2024-04-23T00:32:25;9691.23;10268;1013.21
2;2024-04-23T05:16:08;2024-04-23T04:40:49;26027.13;15911;9544.65
3;2024-04-23T03:05:30;2024-04-23T02:21:54;5509.57;16659;28718.92
4;2024-04-23T05:02:52;2024-04-23T05:32:35;2121.12;27379;15687.96
5;2024-04-22T17:47:30;2024-04-23T07:55:03;28897.02;20652;22413.94
6;2024-04-22T22:58:38;2024-04-23T01:01:39;5856.92;16906;21490.1
7;2024-04-22T22:19:50;2024-04-22T17:48:57;27804.87;2181;5793.18
8;2024-04-22T21:40:06;2024-04-23T08:15:58;6664.83;11618;27704.51
9;2024-04-22T22:07:46;2024-04-23T08:09:52;28835.53;6880;27992.81
10;2024-04-23T09:30:40;2024-04-22T23:18:09;28187.84;17405;23056.1
