id;is_blood_glucose_shown;is_blood_pressure_shown;is_body_composition_shown;is_blood_cholesterol_shown;is_body_height_shown;is_body_weight_shown;is_calories_burnt_shown
1;excepting;ruling kebab;er;after;occur class while;payment keenly;week defensive
2;under;quicker;spawn unlike good;amongst steep;frivolous nectarine beautifully;because;shin these considering
3;ill sack along;midst;ugh moustache fooey;converge guilty essay;huzzah record cripple;searchingly;if whose
4;ha;meh;absent container;wrongly without gah;jagged secretary continually;mmm;astronomy pace
5;blah jive who;acclaimed bellows since;vacantly geez but;sharply flush;whenever open ack;like following blah;who nothing
6;gratefully;sideline;gadzooks empty maim;innocently;pish;though stumble;drat
7;unlike;opposition e-book sum;oof woot painfully;through dud whereas;misty wholly;charge ick;pfft
8;hm shred as;part poleax generally;excluding ferociously;armpit suffocation woot;cube phew culture;felony federation;consequently
9;open ferociously past;cavernous fooey;rejoin jaggedly;fooey that furthermore;indeed subvert;daring briefly;orange bumpy
10;yahoo ah courageously;distorted;ability;frequency drat;blinker;sans fully;sweaty supervene
