id;id_version;bmr;dt_created;dt_modified
1;3313;22373.05;2024-04-23T05:36:48;2024-04-22T19:17:04
2;28108;27626.98;2024-04-23T05:21:57;2024-04-23T00:30:52
3;12898;770.31;2024-04-23T01:28:43;2024-04-22T19:09:22
4;29081;8589.14;2024-04-22T19:28:54;2024-04-23T06:30:06
5;14493;6903.41;2024-04-23T08:02:34;2024-04-22T15:37:19
6;7413;24638.82;2024-04-23T14:20:42;2024-04-22T16:36:50
7;7990;26763.3;2024-04-22T16:17:59;2024-04-23T05:59:16
8;4914;758.5;2024-04-22T18:56:23;2024-04-22T15:51:03
9;12266;25269.47;2024-04-23T12:20:18;2024-04-23T03:56:28
10;26850;7696.49;2024-04-23T00:35:52;2024-04-22T19:48:37
